Número de Vértice -> 1792
Número de Arestas -> 10075
Grau Médio do Grafo -> 11.2444
Frequência relativa de grau 6 -> 0.107701
Frequência relativa de grau 27 -> 0.0145089
Frequência relativa de grau 19 -> 0.0117188
Frequência relativa de grau 7 -> 0.123326
Frequência relativa de grau 29 -> 0.0128348
Frequência relativa de grau 24 -> 0.00167411
Frequência relativa de grau 17 -> 0.00948661
Frequência relativa de grau 33 -> 0.0178571
Frequência relativa de grau 22 -> 0.00223214
Frequência relativa de grau 4 -> 0.0820312
Frequência relativa de grau 36 -> 0.00167411
Frequência relativa de grau 32 -> 0.00334821
Frequência relativa de grau 25 -> 0.0111607
Frequência relativa de grau 40 -> 0.00111607
Frequência relativa de grau 13 -> 0.0117188
Frequência relativa de grau 60 -> 0.000558036
Frequência relativa de grau 37 -> 0.0206473
Frequência relativa de grau 35 -> 0.016183
Frequência relativa de grau 8 -> 0.133371
Frequência relativa de grau 21 -> 0.0106027
Frequência relativa de grau 31 -> 0.0167411
Frequência relativa de grau 26 -> 0.000558036
Frequência relativa de grau 39 -> 0.0206473
Frequência relativa de grau 9 -> 0.0145089
Frequência relativa de grau 5 -> 0.093192
Frequência relativa de grau 12 -> 0.016183
Frequência relativa de grau 14 -> 0.0167411
Frequência relativa de grau 23 -> 0.0122768
Frequência relativa de grau 18 -> 0.0078125
Frequência relativa de grau 42 -> 0.00167411
Frequência relativa de grau 66 -> 0.000558036
Frequência relativa de grau 2 -> 0.0502232
Frequência relativa de grau 15 -> 0.00948661
Frequência relativa de grau 1 -> 0.0329241
Frequência relativa de grau 34 -> 0.00167411
Frequência relativa de grau 64 -> 0.000558036
Frequência relativa de grau 16 -> 0.0106027
Frequência relativa de grau 43 -> 0.00167411
Frequência relativa de grau 20 -> 0.00167411
Frequência relativa de grau 46 -> 0.00111607
Frequência relativa de grau 10 -> 0.0128348
Frequência relativa de grau 50 -> 0.000558036
Frequência relativa de grau 11 -> 0.0106027
Frequência relativa de grau 3 -> 0.0658482
Frequência relativa de grau 41 -> 0.00167411
Frequência relativa de grau 28 -> 0.000558036
Frequência relativa de grau 45 -> 0.000558036
Frequência relativa de grau 44 -> 0.000558036
Frequência relativa de grau 47 -> 0.00111607
Frequência relativa de grau 30 -> 0.000558036
Frequência relativa de grau 38 -> 0.000558036

